pi,interval,color
5,"[2024-08-08 06:00:59, 2024-08-08 19:59:59]",blu
5,"[2024-08-09 06:00:59, 2024-08-09 12:05:44]",blu
5,"[2024-08-09 12:07:08, 2024-08-09 19:59:59]",blu
5,"[2024-08-10 06:00:58, 2024-08-10 19:59:59]",blu
5,"[2024-08-11 06:01:00, 2024-08-11 09:24:28]",blu
5,"[2024-08-12 20:25:40, 2024-08-12 20:25:40]",blu
5,"[2024-08-13 06:01:01, 2024-08-13 19:59:59]",blu
5,"[2024-08-14 06:01:02, 2024-08-14 20:00:00]",blu
5,"[2024-08-15 06:01:02, 2024-08-15 08:01:36]",blu
5,"[2024-08-15 17:07:57, 2024-08-15 19:59:59]",yel
5,"[2024-08-16 06:00:59, 2024-08-16 19:59:59]",yel
5,"[2024-08-17 06:01:01, 2024-08-17 15:51:58]",yel
5,"[2024-08-19 11:19:30, 2024-08-19 11:27:06]",yel
5,"[2024-08-22 11:15:21, 2024-08-22 11:26:28]",yel
5,"[2024-08-22 18:01:31, 2024-08-22 18:03:49]",yel
5,"[2024-08-25 10:05:02, 2024-08-25 10:12:16]",yel
5,"[2024-09-03 09:35:33, 2024-09-03 09:46:42]",yel
5,"[2024-09-05 12:12:27, 2024-09-05 12:16:43]",yel
5,"[2024-09-05 12:30:16, 2024-09-05 12:30:21]",yel
6,"[2024-07-11 05:02:05, 2024-07-11 16:00:00]",cnt
6,"[2024-07-12 05:02:00, 2024-07-12 15:59:58]",cnt
6,"[2024-07-13 05:02:01, 2024-07-13 13:45:21]",cnt
6,"[2024-07-13 13:48:36, 2024-07-13 16:00:00]",cnt
6,"[2024-07-14 05:02:03, 2024-07-14 15:59:59]",cnt
6,"[2024-07-15 05:02:03, 2024-07-15 15:59:59]",cnt
6,"[2024-07-16 05:02:01, 2024-07-16 08:42:27]",cnt
6,"[2024-07-18 11:13:56, 2024-07-18 19:59:59]",yel
6,"[2024-07-19 05:01:04, 2024-07-19 19:59:59]",yel
6,"[2024-07-20 05:01:04, 2024-07-20 17:58:21]",yel
6,"[2024-07-20 21:08:40, 2024-07-20 21:08:40]",yel
6,"[2024-07-21 05:01:06, 2024-07-21 19:59:59]",yel
6,"[2024-07-22 05:01:04, 2024-07-22 19:59:59]",yel
6,"[2024-07-23 05:01:04, 2024-07-23 11:31:31]",yel
6,"[2024-07-23 20:40:11, 2024-07-23 20:40:11]",yel
6,"[2024-07-24 06:00:56, 2024-07-24 19:59:59]",grn
6,"[2024-07-25 06:00:57, 2024-07-25 19:59:59]",grn
6,"[2024-07-25 20:42:47, 2024-07-25 20:42:47]",grn
6,"[2024-07-26 06:01:05, 2024-07-26 19:59:59]",grn
6,"[2024-07-27 06:01:05, 2024-07-27 14:40:25]",grn
6,"[2024-07-27 14:41:59, 2024-07-27 19:59:59]",grn
6,"[2024-07-28 06:00:55, 2024-07-28 19:59:59]",grn
